path,mu_amp,sd_amp,p_valid,mu_phase_vv,sd_phase_vv
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_5120.npy,0.10613050311803818,0.07727936655282974,0.9984893798828125,-0.82910275,1.811927080154419
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_5632.npy,0.1047135442495346,0.07395210862159729,0.9985885620117188,0.10389006,1.8108824491500854
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_6144.npy,0.10206827521324158,0.07240010797977448,0.9985885620117188,-1.2474031,1.8128610849380493
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_6656.npy,0.10141708701848984,0.07050197571516037,0.9985847473144531,-1.3814584,1.8161108493804932
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_7168.npy,0.09935273230075836,0.06765162944793701,0.9987869262695312,0.4362743,1.8123470544815063
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_7680.npy,0.10375499725341797,0.07227834314107895,0.9987716674804688,-2.7490258,1.8187530040740967
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_8192.npy,0.2195805013179779,0.22521203756332397,0.9993743896484375,-1.7565452,1.8168396949768066
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_8704.npy,0.3069480061531067,0.2939842939376831,0.9997596740722656,2.7475445,1.8182214498519897
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_9216.npy,0.3515889346599579,0.3217320144176483,0.9998207092285156,-1.9286577,1.814570665359497
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_0_9728.npy,0.3035767674446106,0.28909870982170105,0.9997787475585938,1.4538615,1.8137527704238892
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_10240_0.npy,0.012030228041112423,0.03630769997835159,0.1481475830078125,0.001175188,0.7013352513313293
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_10240_1024.npy,0.08160681277513504,0.05938563123345375,0.9975814819335938,-0.2555556,1.8138859272003174
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_10240_10240.npy,0.28574493527412415,0.2979944050312042,0.9997138977050781,-1.2054721,1.8144406080245972
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_10240_10752.npy,0.284795880317688,0.25950491428375244,0.9997825622558594,-1.6382064,1.8155115842819214
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_10240_11264.npy,0.2583502233028412,0.23243723809719086,0.9996986389160156,-2.6439588,1.8194959163665771
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_10240_11776.npy,0.3312196135520935,0.2815239429473877,0.9998016357421875,-1.8061687,1.8141497373580933
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_26E9_Orb_Cal_Deb_mrg_dual_pol_complex_10240_12288.npy,0.18393902480602264,0.2256542444229126,0.6814041137695312,-0.0051585934,1.4952290058135986
