path,mu_amp,sd_amp,p_valid,mu_phase_vv,sd_phase_vv
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_5120.npy,0.0723884180188179,0.04896988719701767,0.9979209899902344,-0.88687056,1.810409426689148
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_5632.npy,0.0632948949933052,0.03457256034016609,0.997711181640625,0.115398906,1.8109617233276367
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_6144.npy,0.07195959985256195,0.0463695153594017,0.9980850219726562,-1.4986674,1.817815899848938
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_6656.npy,0.06156150996685028,0.033222801983356476,0.9978141784667969,-0.236185,1.8163362741470337
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_7168.npy,0.06480658054351807,0.035339560359716415,0.9979782104492188,0.16074523,1.8078120946884155
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_7680.npy,0.07642239332199097,0.049550868570804596,0.9981803894042969,0.21545999,1.8181142807006836
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_8192.npy,0.20335593819618225,0.2043454349040985,0.9993019104003906,0.022777475,1.814117431640625
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_8704.npy,0.28530383110046387,0.26678383350372314,0.9997482299804688,-2.7541459,1.8142644166946411
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_9216.npy,0.31259170174598694,0.2785879969596863,0.9997177124023438,-0.5638744,1.8131190538406372
D:\Sentinel-1\data\patches\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg\S1B_IW_SLC__1SDV_20200801T213133_20200801T213201_022735_02B262_11B5_Orb_Cal_Deb_mrg_dual_pol_complex_0_9728.npy,0.2767280340194702,0.2582249939441681,0.9997291564941406,2.154371,1.8176580667495728
